Resistance,Capacitance,Inductance,Damping Factor
49.10906368,1.08E-015,0.00000000106149163806861,0.0247676754018334
91.58667308,1.15E-015,0.000000000981719654671004,0.0495629861931012
163.8897841,9.46E-016,0.00000000134907228008095,0.0686198629407717
93.50383518,1.15E-015,0.00000000124969319681007,0.0448483682174221
72.92335017,6.3E-016,0.00000000107884392376744,0.027862981171384
89.67347471,9.8E-016,0.00000000133456585884473,0.038421740574082
103.381527,1.48E-015,0.00000000118247729698636,0.0578292285846679
89.90233276,7.43E-016,0.00000000109069842544339,0.0371007790360887
51.07264371,1.04E-015,0.000000000943617140640744,0.0268087831945473
66.51129617,1.58E-015,0.00000000110703187351432,0.0397295729279622
87.8258156,1.28E-015,0.00000000149997349097632,0.0405653650737582
63.31317504,1.3E-015,0.000000000972658257206152,0.0365978552092881
126.9668742,1.45E-015,0.00000000103604745687438,0.0751025371431591
84.97910791,1.33E-015,0.00000000139992569850984,0.0414147934279535
133.1007575,1.44E-015,0.00000000120567261540568,0.0727305847170499
191.4802568,6.9E-016,0.00000000106397041510129,0.0770998929268729
79.7935417,1.38E-015,0.00000000100154599114153,0.0468319068284989
116.0806102,1.03E-015,0.00000000102969557122231,0.0580488842538091
77.02755414,8E-016,0.00000000108505773861462,0.0330700370437312
88.99527823,9.71E-016,0.000000000995630532256095,0.043943787033266
118.8807315,1.58E-015,0.00000000113809925253851,0.0700357763991006
124.2139912,7.39E-016,0.000000000959049188633618,0.054518299232919
115.7707683,8.46E-016,0.00000000108968254715023,0.0510039843429455
83.9849539,5.96E-016,0.000000000942616108675279,0.0333908284027173
59.08527471,1.49E-015,0.000000000990836185378078,0.0362277588570602
72.40931415,1.45E-015,0.00000000103078804771492,0.0429401692919805
89.48064331,7.64E-016,0.00000000143683216587402,0.0326244170674105
47.93741036,5.15E-016,0.00000000111455795166365,0.0162928425542211
54.44801629,1.18E-015,0.00000000138260675808169,0.0251503325566717
95.46320777,9.73E-016,0.000000000960959842442989,0.0480296949499663
52.1643038,9.26E-016,0.00000000119452172207037,0.022964229970416
99.28469584,1.25E-015,0.00000000126716864170115,0.0493049033733069
81.4154618,1.04E-015,0.00000000138308433248386,0.0352995552606358
105.0135514,5.1E-016,0.00000000110584577020299,0.0356576861193184
71.36408073,9.61E-016,0.00000000103609603466685,0.0343646059411074
107.7121249,4.01E-016,0.00000000120433622431737,0.0310765579020476
62.73047712,8.59E-016,0.00000000100966023467482,0.0289306073480474
95.40233777,9.67E-016,0.00000000095716315840895,0.0479456566809493
70.96146001,7.97E-016,0.000000000966262310509661,0.0322236096099059
149.2670927,1.05E-015,0.000000000950202618210176,0.0784549981628529
103.998778,9.86E-016,0.00000000132986143990542,0.0447747841954859
101.0020839,7.74E-016,0.00000000110325177231359,0.0422993313347636
71.95702027,9.19E-016,0.00000000147223972994437,0.028425732465983
75.74197481,9.58E-016,0.00000000139026390827095,0.0314369756632146
84.6118968,6.98E-016,0.00000000123353286836153,0.0318239280310739
56.88310334,1E-015,0.00000000133480787821984,0.0246174976786974
53.12288293,9.27E-016,0.00000000133289978531939,0.0221509704721073
89.25255396,1.07E-015,0.00000000100449314624987,0.0460584222063268
96.54259418,8.47E-016,0.00000000111134075929116,0.0421412149766808
60.48237709,1.45E-015,0.000000000950554166638384,0.0373503281768997
142.3924607,8.87E-016,0.0000000014361791156275,0.0559518571126049
84.27640484,1.19E-015,0.00000000113222151032332,0.0432000037962996
98.28703536,1.07E-015,0.00000000128883033156071,0.0447775424868405
90.4836163,6.76E-016,0.0000000013804160172828,0.0316598101895801
98.62004896,4.4E-016,0.0000000011832721172367,0.0300690177153661
101.9069912,1.19E-015,0.00000000136420447072285,0.0475891261356636
109.2710211,1.27E-015,0.00000000104319412619153,0.0602829226499091
139.7971142,1.14E-015,0.0000000011351565154836,0.0700475199121212
120.597123,9.85E-016,0.00000000106131803135386,0.0580901229220437
97.78232614,1.08E-015,0.00000000155027400785315,0.0408073143700955
72.75221131,1.3E-015,0.00000000121726083118993,0.0375920539225786
63.66156381,9.26E-016,0.00000000111857790420794,0.028961408685532
71.47993771,1.14E-015,0.00000000105176398989182,0.0372089527271708
71.55563043,8.76E-016,0.00000000123720946577591,0.0301053896595831
64.82866121,1.31E-015,0.00000000131295410192799,0.0323778445014202
69.18621242,7.36E-016,0.00000000101822343783465,0.0294108057414602
98.34642234,7.29E-016,0.000000000973186337194576,0.0425592859295233
113.6541754,1.22E-015,0.00000000115910718732924,0.0583006659560925
52.73542123,5.91E-016,0.000000000961674320968867,0.0206705558029495
42.86601751,9.84E-016,0.00000000107124890437472,0.0205416580410138
64.52125027,1.24E-015,0.00000000119864321499251,0.0328124497481396
70.07469473,1.69E-015,0.00000000104792202691546,0.0444948847866314
65.65500523,7.72E-016,0.00000000138484962929248,0.0245101057602064
89.13122509,1.16E-015,0.00000000102427736804405,0.0474263919736075
64.59297705,1.05E-015,0.00000000103446682664317,0.0325380611584004
84.42859119,1.06E-015,0.000000000978011547368181,0.0439481388768279
59.18914823,1.19E-015,0.00000000115023418212165,0.0301017982359207
61.37457781,4.8E-016,0.000000001310979663275,0.0185686856178013
66.43905168,1.18E-015,0.00000000135037976776084,0.0310532079549258
73.43898677,1.11E-015,0.00000000146353572259944,0.0319783834925714
77.36671386,9.78E-016,0.000000000988141835526262,0.0384843307995553
70.41199425,8.78E-016,0.00000000105949566971429,0.0320489875280955
71.98536995,8.68E-016,0.00000000108155017833195,0.0322441380024097
83.34690094,1.6E-015,0.00000000107790879446815,0.0507724878414218
98.30466147,1.75E-015,0.00000000115657544052608,0.0604611157863384
88.19929432,1.1E-015,0.00000000113250060223743,0.0434622530904997
72.85802261,6.87E-016,0.00000000105335254921845,0.0294197432136412
56.27532015,7.74E-016,0.0000000010178468166556,0.0245367618480445
70.71174033,8.12E-016,0.00000000122678372776945,0.0287644147142468
71.07238591,9.9E-016,0.00000000130892543883836,0.030905163286741
124.991185,1.2E-015,0.00000000120039444895539,0.0624853236476928
74.28590398,1.11E-015,0.00000000103025303112352,0.0385536904335282
56.01474451,1.01E-015,0.00000000138428540268075,0.0239232528821812
78.13338811,1.29E-015,0.00000000125408751480739,0.0396221095560367
129.0405306,1.24E-015,0.00000000150959027405651,0.0584759710631381
94.02797126,1.23E-015,0.00000000143437622944822,0.043535956071932
60.29460224,8.03E-016,0.0000000012459783041952,0.0242019841055012
123.4847546,1.16E-015,0.00000000127439562460081,0.0589060912877657
60.35475859,9.78E-016,0.00000000119851094212343,0.0272602570809826
63.07096979,1.4E-015,0.000000000986159228165543,0.0375742230802407
